序号,名称,经度,纬度
160,13号线#160,121.92449442,39.42707314
161,13号线#161,121.92416847,39.42731185
162,13号线#162,121.92384252,39.42755055
163,13号线#163,121.92351657,39.42778925
164,13号线#164,121.92319062,39.42802795
165,13号线#165,121.92286467,39.42826665
166,13号线#166,121.92253872,39.42850535
167,13号线#167,121.92221277,39.42874405
168,13号线#168,121.92188682,39.42898275
169,13号线#169,121.92156086,39.42922145
170,13号线#170,121.92123491,39.42946014
171,13号线#171,121.92090896,39.42969884
172,13号线#172,121.92058301,39.42993753
173,13号线#173,121.92025706,39.43017623
174,13号线#174,121.91993111,39.43041492
175,13号线#175,121.91960516,39.43065361
176,13号线#176,121.91927921,39.4308923
177,13号线#177,121.91902517,39.43081775
178,13号线#178,121.91882534,39.43050705
179,13号线#179,121.91862551,39.43019635
180,13号线#180,121.91842568,39.42988564
181,13号线#181,121.91822585,39.42957494
182,13号线#182,121.91802602,39.42926423
183,13号线#183,121.91782619,39.42895352
184,13号线#184,121.91762636,39.42864281
185,13号线#185,121.91742653,39.4283321
186,13号线#186,121.91722671,39.42802139
187,13号线#187,121.91702688,39.42771068
188,13号线#188,121.91682705,39.42739996
189,13号线#189,121.91662722,39.42708925
190,13号线#190,121.91642739,39.42677853
191,13号线#191,121.91622756,39.42646781
192,13号线#192,121.91602773,39.42615709
193,13号线#193,121.9158279,39.42584637
194,13号线#194,121.91562807,39.42553564
195,13号线#195,121.91542824,39.42522492
196,13号线#196,121.91522842,39.42491419
197,13号线#197,121.91502859,39.42460347
198,13号线#198,121.91482876,39.42429274
199,13号线#199,121.91462893,39.42398201
200,13号线#200,121.9144291,39.42367128
201,13号线#201,121.91422927,39.42336054
202,13号线#202,121.91402944,39.42304981
203,13号线#203,121.91382961,39.42273907
204,13号线#204,121.91362978,39.42242834
205,13号线#205,121.91342996,39.4221176
206,13号线#206,121.91323013,39.42180686
207,13号线#207,121.9130303,39.42149612
208,13号线#208,121.91283047,39.42118537
209,13号线#209,121.91263064,39.42087463
210,13号线#210,121.91243081,39.42056388
211,13号线#211,121.91223098,39.42025314
212,13号线#212,121.91203115,39.41994239
213,13号线#213,121.91183132,39.41963164
214,13号线#214,121.91163149,39.41932089
215,13号线#215,121.91143167,39.41901014
216,13号线#216,121.91123184,39.41869938
217,13号线#217,121.91103201,39.41838863
218,13号线#218,121.91083218,39.41807787
219,13号线#219,121.91063235,39.41776711
220,13号线#220,121.91043252,39.41745635
221,13号线#221,121.91023269,39.41714559
222,13号线#222,121.91003286,39.41683483
223,13号线#223,121.90983303,39.41652407
224,13号线#224,121.90963321,39.4162133
225,13号线#225,121.90943338,39.41590254
226,13号线#226,121.90923355,39.41559177
227,13号线#227,121.90903372,39.415281
228,13号线#228,121.90883389,39.41497023
229,13号线#229,121.90863406,39.41465946
230,13号线#230,121.90843423,39.41434868
231,13号线#231,121.9082344,39.41403791
232,13号线#232,121.90803457,39.41372713
233,13号线#233,121.90783475,39.41341636
234,13号线#234,121.90763492,39.41310558
235,13号线#235,121.90743509,39.4127948
236,13号线#236,121.90723526,39.41248402
237,13号线#237,121.90703543,39.41217323
238,13号线#238,121.9068356,39.41186245
239,13号线#239,121.90663577,39.41155166
240,13号线#240,121.90643594,39.41124088
241,13号线#241,121.90623611,39.41093009
242,13号线#242,121.90603628,39.4106193
243,13号线#243,121.90583646,39.41030851
244,13号线#244,121.90563663,39.40999772
245,13号线#245,121.9054368,39.40968692
246,13号线#246,121.90523697,39.40937613
247,13号线#247,121.90503714,39.40906533
248,13号线#248,121.90483731,39.40875453
249,13号线#249,121.90463748,39.40844373
250,13号线#250,121.90443765,39.40813293
251,13号线#251,121.90423782,39.40782213
252,13号线#252,121.904038,39.40751133
253,13号线#253,121.90383817,39.40720052
254,13号线#254,121.90363834,39.40688971
255,13号线#255,121.90343851,39.40657891
256,13号线#256,121.90323868,39.4062681
257,13号线#257,121.90303885,39.40595729
258,13号线#258,121.90283902,39.40564647
259,13号线#259,121.90263919,39.40533566
260,13号线#260,121.90243936,39.40502485
261,13号线#261,121.90223953,39.40471403
262,13号线#262,121.90203971,39.40440321
263,13号线#263,121.90183988,39.40409239
264,13号线#264,121.90164005,39.40378157
265,13号线#265,121.90144022,39.40347075
266,13号线#266,121.90124039,39.40315993
267,13号线#267,121.90104056,39.40284911
268,13号线#268,121.90084073,39.40253828
269,13号线#269,121.9006409,39.40222745
270,13号线#270,121.90044107,39.40191662
271,13号线#271,121.90024125,39.40160579
272,13号线#272,121.90004142,39.40129496
273,13号线#273,121.89984159,39.40098413
274,13号线#274,121.89964176,39.4006733
275,13号线#275,121.89944193,39.40036246
276,13号线#276,121.8992421,39.40005162
277,13号线#277,121.89904227,39.39974079
278,13号线#278,121.89884244,39.39942995
279,13号线#279,121.89864261,39.3991191
280,13号线#280,121.89844279,39.39880826
281,13号线#281,121.89824296,39.39849742
282,13号线#282,121.89804313,39.39818657
283,13号线#283,121.8978433,39.39787573
284,13号线#284,121.89764347,39.39756488
285,13号线#285,121.89744364,39.39725403
286,13号线#286,121.89724381,39.39694318
287,13号线#287,121.89704398,39.39663233
288,13号线#288,121.89684415,39.39632147
289,13号线#289,121.89664432,39.39601062
290,13号线#290,121.8964445,39.39569976
291,13号线#291,121.89624467,39.3953889
292,13号线#292,121.89604484,39.39507805
293,13号线#293,121.89584501,39.39476719
294,13号线#294,121.89564518,39.39445632
295,13号线#295,121.89544535,39.39414546
296,13号线#296,121.89524552,39.3938346
297,13号线#297,121.89504569,39.39352373
298,13号线#298,121.89484586,39.39321286
299,13号线#299,121.89464604,39.39290199
300,13号线#300,121.89444621,39.39259112
301,13号线#301,121.89424638,39.39228025
302,13号线#302,121.89404655,39.39196938
303,13号线#303,121.89384672,39.39165851
304,13号线#304,121.89364689,39.39134763
305,13号线#305,121.89344706,39.39103675
306,13号线#306,121.89324723,39.39072587
307,13号线#307,121.8930474,39.39041499
308,13号线#308,121.89284757,39.39010411
309,13号线#309,121.89264775,39.38979323
310,13号线#310,121.89244792,39.38948235
311,13号线#311,121.89224809,39.38917146
312,13号线#312,121.89204826,39.38886057
313,13号线#313,121.89184843,39.38854969
314,13号线#314,121.8916486,39.3882388
315,13号线#315,121.89144877,39.38792791
316,13号线#316,121.89124894,39.38761701
317,13号线#317,121.89104911,39.38730612
318,13号线#318,121.89084929,39.38699523
319,13号线#319,121.89064946,39.38668433
320,13号线#320,121.89044963,39.38637343
321,13号线#321,121.8902498,39.38606253
322,13号线#322,121.89004997,39.38575163
323,13号线#323,121.88985014,39.38544073
324,13号线#324,121.88965031,39.38512983
325,13号线#325,121.88945048,39.38481892
326,13号线#326,121.88925065,39.38450802
327,13号线#327,121.88905083,39.38419711
328,13号线#328,121.888851,39.3838862
329,13号线#329,121.88865117,39.38357529
330,13号线#330,121.88845134,39.38326438
331,13号线#331,121.88825151,39.38295346
332,13号线#332,121.88805168,39.38264255
333,13号线#333,121.88785185,39.38233163
334,13号线#334,121.88765202,39.38202072
335,13号线#335,121.88745219,39.3817098
336,13号线#336,121.88725236,39.38139888
337,13号线#337,121.88705254,39.38108796
338,13号线#338,121.88685271,39.38077703
339,13号线#339,121.88665288,39.38046611
340,13号线#340,121.88645305,39.38015518
341,13号线#341,121.88625322,39.37984426
342,13号线#342,121.88605339,39.37953333
343,13号线#343,121.88585356,39.3792224
344,13号线#344,121.88565373,39.37891147
345,13号线#345,121.8854539,39.37860054
346,13号线#346,121.88525408,39.3782896
347,13号线#347,121.88505425,39.37797867
348,13号线#348,121.88485442,39.37766773
349,13号线#349,121.88465459,39.37735679
350,13号线#350,121.88445476,39.37704585
351,13号线#351,121.88425493,39.37673491
352,13号线#352,121.8840551,39.37642397
353,13号线#353,121.88385527,39.37611303
354,13号线#354,121.88365544,39.37580208
355,13号线#355,121.88345561,39.37549114
